Country,1990,2005,2017,2017(% of world),2017 vs 1990: change (%),Per Land Area(t /km²/yr),Per Capita(t /cap/yr)
World – International Aviation,258.941,422.777,543.381,1.47%,109.80%,n/a,
World – International Shipping,371.804,572.169,677.248,1.83%,82.20%,n/a,
Afghanistan,2.546,1.063,11.422,0.03%,348.60%,18,
Albania,6.583,4.196,5.026,0.01%,-23.70%,175,
Algeria,65.677,98.197,159.929,0.43%,143.50%,67,
Angola,5.851,15.975,30.876,0.08%,427.70%,25,
Anguilla,0.006,0.014,0.028,0.00%,366.70%,308,
Antigua and Barbuda,0.223,0.283,0.624,0.00%,179.80%,1412,
Argentina,112.434,165.429,209.968,0.57%,86.70%,76,
Armenia,20.699,4.542,4.832,0.01%,-76.70%,162,
Aruba,0.297,0.47,0.959,0.00%,222.90%,5328,
Australia,275.408,391.59,402.253,1.08%,46.10%,52,
Austria,62.918,80.994,72.249,0.19%,14.80%,861,
Azerbaijan,58.077,30.485,32.544,0.09%,-44.00%,376,
Bahamas,1.524,2.068,2.997,0.01%,96.70%,215,
Bahrain,11.988,23.388,35.775,0.10%,198.40%,46643,
Bangladesh,13.868,38.834,84.546,0.23%,509.60%,573,
Barbados,0.776,2.162,3.172,0.01%,308.80%,7377,
Belarus,109.069,61.396,62.34,0.17%,-42.80%,300,
Belgium,115.903,118.708,104.221,0.28%,-10.10%,3414,
Belize,0.188,0.44,0.44,0.00%,134.00%,19,
Benin,0.415,2.839,7.097,0.02%,1610.10%,62,
Bermuda,0.335,0.284,0.429,0.00%,28.10%,7944,
Bhutan,0.208,0.515,1.454,0.00%,599.00%,38,
Bolivia,6.287,9.998,20.462,0.06%,225.50%,19,
Bosnia and Herzegovina,24.559,16.89,25.618,0.07%,4.30%,500,
Botswana,2.818,4.465,7.913,0.02%,180.80%,14,
Brazil,228.603,380.765,492.791,1.33%,115.60%,58,
British Virgin Islands,0.026,0.032,0.149,0.00%,473.10%,987,
Brunei,3.397,5.174,6.711,0.02%,97.60%,1164,
Bulgaria,82.271,52.032,49.568,0.13%,-39.80%,447,
Burkina Faso,0.38,1.038,3.399,0.01%,794.50%,12,
Burundi,0.21,0.307,0.289,0.00%,37.60%,10,
Cambodia,0.407,2.686,10.56,0.03%,2494.60%,58,
Cameroon,7.097,5.52,9.768,0.03%,37.60%,21,
Canada,455.827,581.267,617.301,1.66%,35.40%,62,
Cape Verde,0.049,0.227,0.955,0.00%,1849.00%,237,
Cayman Islands,0.148,0.188,0.493,0.00%,233.10%,1867,
Central African Republic,0.159,0.246,0.486,0.00%,205.70%,1,
Chad,0.268,0.383,0.925,0.00%,245.10%,1,
Chile,32.654,59.747,90.325,0.24%,176.60%,119,
China,2397.048,6263.064,10877.218,29.34%,353.80%,1133,
Colombia,51.919,60.61,74.954,0.20%,44.40%,66,
Comoros,0.049,0.115,0.206,0.00%,320.40%,111,
Congo,0.902,4.359,5.514,0.01%,511.30%,16,
Cook Islands,0.043,0.058,0.047,0.00%,9.30%,199,
Costa Rica,2.913,6.306,8.138,0.02%,179.40%,159,
Croatia,25.164,23.634,17.466,0.05%,-30.60%,309,
Cuba,37.109,26.165,31.277,0.08%,-15.70%,285,
Curaçao,5.474,4.774,7.519,0.02%,37.40%,16935,
Cyprus,4.54,7.883,7.035,0.02%,55.00%,760,
Czech Republic,162.835,127.157,109.756,0.30%,-32.60%,1392,
Democratic Republic of the Congo,3.441,2.589,3.496,0.01%,1.60%,1,
Denmark,53.705,51.485,33.573,0.09%,-37.50%,779,
Djibouti,1.101,1.469,1.014,0.00%,-7.90%,44,
Dominica,0.033,0.035,0.122,0.00%,269.70%,162,
Dominican Republic,8.024,19.409,23.111,0.06%,188.00%,475,
East Timor,0.13,0.272,0.422,0.00%,224.60%,28,
Ecuador,16.119,28.32,39.507,0.11%,145.10%,143,
Egypt,90.783,176.329,258.668,0.70%,184.90%,258,
El Salvador,2.633,6.905,7.857,0.02%,198.40%,373,
Equatorial Guinea,0.097,3.371,2.469,0.01%,2445.40%,88,
Eritrea,0.214,0.688,0.737,0.00%,244.40%,6,
Estonia,38.467,19.643,17.89,0.05%,-53.50%,396,
Eswatini,0.602,1.541,1.247,0.00%,107.10%,72,
Ethiopia,2.39,5.327,14.9,0.04%,523.40%,13,
European Union,4409.339,4249.995,3548.345,9.57%,-19.50%,793,
Falkland Islands,0.013,0.016,0.038,0.00%,192.30%,3,
Faroe Islands,0.001,0.002,0.002,0.00%,100.00%,1,
Fiji,1.028,2.174,1.44,0.00%,40.10%,79,
Finland,57.242,58.36,46.846,0.13%,-18.20%,138,
France Monaco,386.214,408.158,338.193,0.91%,-12.40%,528,
French Guiana,0.371,0.491,0.719,0.00%,93.80%,9,
French Polynesia,0.839,0.785,0.636,0.00%,-24.20%,153,
Gabon,4.857,6.394,6.564,0.02%,35.10%,25,
Georgia,34.745,4.979,11.558,0.03%,-66.70%,166,
Germany,1018.097,837.284,796.529,2.15%,-21.80%,2230,
Ghana,3.195,7.329,18.626,0.05%,483.00%,78,
Gibraltar,0.144,0.406,0.627,0.00%,335.40%,104500,
Greece,79.201,104.835,72.145,0.19%,-8.90%,547,
Greenland,0.003,0.631,0.518,0.00%,17166.70%,0,
Grenada,0.075,0.125,0.28,0.00%,273.30%,814,
