Country,Year,2017 Vs 1990: Change (%),2017(% Of World),Emission,Per Land Area(t /kmý/yr)
Democratic Republic of the Congo,1990,0.016,0.0001,3.441,1
Democratic Republic of the Congo,2005,0.016,0.0001,2.589,1
Democratic Republic of the Congo,2017,0.016,0.0001,3.496,1
Mali,1990,1.483,0,0.383,1
Mali,2005,1.483,0,0.543,1
Mali,2017,1.483,0,0.951,1
Somalia,1990,0.334,0,0.695,1
Somalia,2005,0.334,0,0.765,1
Somalia,2017,0.334,0,0.927,1
Western Sahara,1990,0.917,0,0.144,1
Western Sahara,2005,0.917,0,0.227,1
Western Sahara,2017,0.917,0,0.276,1
Niger,1990,1.854,0.0001,0.875,2
Niger,2005,1.854,0.0001,0.796,2
Niger,2017,1.854,0.0001,2.497,2
Mauritania,1990,3.33,0.0001,0.684,3
Mauritania,2005,3.33,0.0001,2.911,3
Mauritania,2017,3.33,0.0001,2.962,3
Namibia,1990,1.788,0.0001,1.542,5
Namibia,2005,1.788,0.0001,2.504,5
Namibia,2017,1.788,0.0001,4.299,5
Solomon Islands,1990,0.098,0,0.133,5
Solomon Islands,2005,0.098,0,0.187,5
Solomon Islands,2017,0.098,0,0.146,5
Madagascar,1990,4.937,0.0001,0.7,7
Madagascar,2005,4.937,0.0001,2.22,7
Madagascar,2017,4.937,0.0001,4.156,7
Vanuatu,1990,-0.3,0,0.13,7
Vanuatu,2005,-0.3,0,0.063,7
Vanuatu,2017,-0.3,0,0.091,7
Zambia,1990,0.681,0.0001,2.955,7
Zambia,2005,0.681,0.0001,2.457,7
Zambia,2017,0.681,0.0001,4.967,7
Sudan South Sudan,1990,2.803,0.0006,5.536,8
Sudan South Sudan,2005,2.803,0.0006,10.773,8
Sudan South Sudan,2017,2.803,0.0006,21.056,8
Papua New Guinea,1990,0.886,0.0001,2.307,9
Papua New Guinea,2005,0.886,0.0001,4.379,9
Papua New Guinea,2017,0.886,0.0001,4.351,9
Liberia,1990,1.714,0,0.416,10
Liberia,2005,1.714,0,0.473,10
Liberia,2017,1.714,0,1.129,10
Mozambique,1990,5.555,0.0002,1.183,10
Mozambique,2005,5.555,0.0002,2.703,10
Mozambique,2017,5.555,0.0002,7.754,10
Guinea,1990,1.543,0.0001,1.074,11
Guinea,2005,1.543,0.0001,1.119,11
Guinea,2017,1.543,0.0001,2.731,11
Burkina Faso,1990,7.945,0.0001,0.38,12
Burkina Faso,2005,7.945,0.0001,1.038,12
Burkina Faso,2017,7.945,0.0001,3.399,12
Laos,1990,12.355,0.0001,0.211,12
Laos,2005,12.355,0.0001,1.038,12
Laos,2017,12.355,0.0001,2.818,12
Ethiopia,1990,5.234,0.0004,2.39,13
Ethiopia,2005,5.234,0.0004,5.327,13
Ethiopia,2017,5.234,0.0004,14.9,13
Malawi,1990,2.44,0,0.457,13
Malawi,2005,2.44,0,1.437,13
Malawi,2017,2.44,0,1.572,13
Botswana,1990,1.808,0.0002,2.818,14
Botswana,2005,1.808,0.0002,4.465,14
Botswana,2017,1.808,0.0002,7.913,14
Suriname,1990,1.437,0.0001,0.908,14
Suriname,2005,1.437,0.0001,1.686,14
Suriname,2017,1.437,0.0001,2.213,14
Congo,1990,5.113,0.0001,0.902,16
Congo,2005,5.113,0.0001,4.359,16
Congo,2017,5.113,0.0001,5.514,16
Mongolia,1990,0.958,0.0007,13.151,16
Mongolia,2005,0.958,0.0007,11.083,16
Mongolia,2017,0.958,0.0007,25.747,16
Paraguay,1990,1.888,0.0002,2.263,16
Paraguay,2005,1.888,0.0002,3.934,16
Paraguay,2017,1.888,0.0002,6.535,16
Tanzania,1990,5.99,0.0004,2.096,16
Tanzania,2005,5.99,0.0004,5.78,16
Tanzania,2017,5.99,0.0004,14.65,16
Afghanistan,1990,3.486,0.0003,2.546,18
Afghanistan,2005,3.486,0.0003,1.063,18
Afghanistan,2017,3.486,0.0003,11.422,18
Sierra Leone,1990,0.767,0,0.741,18
Sierra Leone,2005,0.767,0,0.493,18
Sierra Leone,2017,0.767,0,1.309,18
